name,url,price
"Redmi Note 7 Pro (Nebula Red, 128 GB)",https://www.flipkart.com/redmi-note-7-pro-nebula-red-128-gb/p/itmffyqg5qhzzh4z?pid=MOBFDXZ3TYYTK3UT&lid=LSTMOBFDXZ3TYYTK3UTK2S3OP&marketplace=FLIPKART&srno=b_2_34&otracker=browse&fm=organic&iid=e2c23fb5-e7b8-4e33-9eda-ce249ad14365.MOBFDXZ3TYYTK3UT.SEARCH&ssid=9a3c7um1hc0000001591261970492,"₹13,999"
"Redmi 8 (Emerald Green, 64 GB)",https://www.flipkart.com/redmi-8-emerald-green-64-gb/p/itm5701cf73cbe1a?pid=MOBFKPYDTSZ8SFHH&lid=LSTMOBFKPYDTSZ8SFHH7DBBDS&marketplace=FLIPKART&srno=b_2_35&otracker=browse&fm=organic&iid=e2c23fb5-e7b8-4e33-9eda-ce249ad14365.MOBFKPYDTSZ8SFHH.SEARCH&ssid=9a3c7um1hc0000001591261970492,"₹9,499"
"Redmi 8A (Ocean Blue, 32 GB)",https://www.flipkart.com/redmi-8a-ocean-blue-32-gb/p/itmeeddf84c49585?pid=MOBFKF98ZVHXHUEP&lid=LSTMOBFKF98ZVHXHUEPBOY0ET&marketplace=FLIPKART&srno=b_2_36&otracker=browse&fm=organic&iid=e2c23fb5-e7b8-4e33-9eda-ce249ad14365.MOBFKF98ZVHXHUEP.SEARCH&ssid=9a3c7um1hc0000001591261970492,"₹7,499"
"Redmi 8A (Sunset Red, 32 GB)",https://www.flipkart.com/redmi-8a-sunset-red-32-gb/p/itme8b392d46394f?pid=MOBFKF987VGBEP4X&lid=LSTMOBFKF987VGBEP4XWPCXLY&marketplace=FLIPKART&srno=b_2_37&otracker=browse&fm=organic&iid=e2c23fb5-e7b8-4e33-9eda-ce249ad14365.MOBFKF987VGBEP4X.SEARCH&ssid=9a3c7um1hc0000001591261970492,"₹7,499"
"Redmi Note 7 Pro (Neptune Blue, 64 GB)",https://www.flipkart.com/redmi-note-7-pro-neptune-blue-64-gb/p/itmfegkx8nbcze6t?pid=MOBFDXZ376XRTZXH&lid=LSTMOBFDXZ376XRTZXHWRK63O&marketplace=FLIPKART&srno=b_2_38&otracker=browse&fm=organic&iid=e2c23fb5-e7b8-4e33-9eda-ce249ad14365.MOBFDXZ376XRTZXH.SEARCH&ssid=9a3c7um1hc0000001591261970492,"₹10,999"
"Redmi Note 7 Pro (Astro Moonlight White, 128 GB)",https://www.flipkart.com/redmi-note-7-pro-astro-moonlight-white-128-gb/p/itm178c61a8738f0?pid=MOBFJFZDF6EZQRHH&lid=LSTMOBFJFZDF6EZQRHHIQJHBR&marketplace=FLIPKART&srno=b_2_39&otracker=browse&fm=organic&iid=e2c23fb5-e7b8-4e33-9eda-ce249ad14365.MOBFJFZDF6EZQRHH.SEARCH&ssid=9a3c7um1hc0000001591261970492,"₹13,999"
"Redmi Note 5 (Black, 64 GB)",https://www.flipkart.com/redmi-note-5-black-64-gb/p/itmf2fc3phdkgahv?pid=MOBF28FTXZYZ6UYJ&lid=LSTMOBF28FTXZYZ6UYJSQJJLU&marketplace=FLIPKART&srno=b_2_40&otracker=browse&fm=organic&iid=e2c23fb5-e7b8-4e33-9eda-ce249ad14365.MOBF28FTXZYZ6UYJ.SEARCH&ssid=9a3c7um1hc0000001591261970492,"₹11,999"
"Redmi Y2 (Black, 64 GB)",https://www.flipkart.com/redmi-y2-black-64-gb/p/itmfdkcmmfcqjg3k?pid=MOBFAWTAHCUT6DGM&lid=LSTMOBFAWTAHCUT6DGMYFEYCS&marketplace=FLIPKART&srno=b_2_41&otracker=browse&fm=organic&iid=e2c23fb5-e7b8-4e33-9eda-ce249ad14365.MOBFAWTAHCUT6DGM.SEARCH&ssid=9a3c7um1hc0000001591261970492,"₹8,499"
"Redmi Note 7S (Onyx Black, 64 GB)",https://www.flipkart.com/redmi-note-7s-onyx-black-64-gb/p/itmfh75fh2ggjgag?pid=MOBFGGJ8AUXSTH6D&lid=LSTMOBFGGJ8AUXSTH6DUXD9PW&marketplace=FLIPKART&srno=b_2_42&otracker=browse&fm=organic&iid=e2c23fb5-e7b8-4e33-9eda-ce249ad14365.MOBFGGJ8AUXSTH6D.SEARCH&ssid=9a3c7um1hc0000001591261970492,"₹11,999"
"Redmi 6A (Blue, 16 GB)",https://www.flipkart.com/redmi-6a-blue-16-gb/p/itmfggjrdnrmscwf?pid=MOBF9Z2Z3YDBSF6V&lid=LSTMOBF9Z2Z3YDBSF6VVAPITK&marketplace=FLIPKART&srno=b_2_43&otracker=browse&fm=organic&iid=e2c23fb5-e7b8-4e33-9eda-ce249ad14365.MOBF9Z2Z3YDBSF6V.SEARCH&ssid=9a3c7um1hc0000001591261970492,"₹5,690"
"Redmi 6A (Black, 32 GB)",https://www.flipkart.com/redmi-6a-black-32-gb/p/itmfggjrdnrmscwf?pid=MOBFAMZF2GJSXFMZ&lid=LSTMOBFAMZF2GJSXFMZOPFI0T&marketplace=FLIPKART&srno=b_2_44&otracker=browse&fm=organic&iid=e2c23fb5-e7b8-4e33-9eda-ce249ad14365.MOBFAMZF2GJSXFMZ.SEARCH&ssid=9a3c7um1hc0000001591261970492,"₹5,412"
"Redmi Note 7 Pro (Nebula Red, 64 GB)",https://www.flipkart.com/redmi-note-7-pro-nebula-red-64-gb/p/itmfhuq4xscxhjud?pid=MOBFHUQ4XG4HZ4SH&lid=LSTMOBFHUQ4XG4HZ4SHTHPGTU&marketplace=FLIPKART&srno=b_2_45&otracker=browse&fm=organic&iid=e2c23fb5-e7b8-4e33-9eda-ce249ad14365.MOBFHUQ4XG4HZ4SH.SEARCH&ssid=9a3c7um1hc0000001591261970492,"₹12,999"
"Redmi 7A (Matte Black, 32 GB)",https://www.flipkart.com/redmi-7a-matte-black-32-gb/p/itmfhz4cm2yz93xx?pid=MOBFHZ4BRKSMDXH7&lid=LSTMOBFHZ4BRKSMDXH7XKB6YB&marketplace=FLIPKART&srno=b_2_46&otracker=browse&fm=organic&iid=e2c23fb5-e7b8-4e33-9eda-ce249ad14365.MOBFHZ4BRKSMDXH7.SEARCH&ssid=9a3c7um1hc0000001591261970492,"₹6,699"
"Mi A2 (Lake Blue, 128 GB)",https://www.flipkart.com/mi-a2-lake-blue-128-gb/p/itmfghsgu6qkezgq?pid=MOBFF7A53WRRXZXH&lid=LSTMOBFF7A53WRRXZXH25GW3O&marketplace=FLIPKART&srno=b_2_47&otracker=browse&fm=organic&iid=e2c23fb5-e7b8-4e33-9eda-ce249ad14365.MOBFF7A53WRRXZXH.SEARCH&ssid=9a3c7um1hc0000001591261970492,"₹13,999"
